Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, 0.0
Query 2, 0, 0.0, 0
Query 3, 3, 30.0, -14.5
Query 4, 4, 40.0, -5.1
Query 5, 2, 20.0, -1.0
Query 6, 1, 10.0, 0
Query 7, 3, 30.0, -12.25
Query 8, 2, 20.0, -36.0
Query 9, 4, 40.0, 0.09999999999999998
Query 10, 0, 0.0, 0
Query 11, 3, 30.0, -7.25
Query 12, 1, 10.0, 0
Query 13, 0, 0.0, 0
Query 14, 1, 10.0, 0
Query 15, 3, 30.0, -17.75
Query 16, 3, 30.0, -9.25
Query 17, 3, 30.0, 0.25
Query 18, 1, 10.0, 0
Query 19, 1, 10.0, 1
Query 20, 0, 0.0, 0
Query 21, 4, 40.0, -9.0
Query 22, 0, 0.0, 0
Query 23, 1, 10.0, 0
Query 24, 0, 0.0, 0
Query 25, 0, 0.0, 0
Query 26, 0, 0.0, 0
Query 27, 1, 10.0, 0
Query 28, 3, 30.0, -13.25
Query 29, 2, 20.0, -25.0
Query 30, 0, 0.0, 0
Query 31, 5, 50.0, -1.5
Query 32, 3, 30.0, -1.25
Query 33, 4, 40.0, -7.1
Query 34, 1, 10.0, 1
Query 35, 2, 20.0, -24.0
Query 36, 2, 20.0, -48.0
Query 37, 0, 0.0, 0
Query 38, 0, 0.0, 0
Query 39, 1, 10.0, 0
Query 40, 4, 40.0, -1.1
Query 41, 4, 40.0, -3.2
Query 42, 4, 40.0, -1.1
Query 43, 0, 0.0, 0
Query 44, 2, 20.0, -1.0
Query 45, 2, 20.0, -44.0
Query 46, 0, 0.0, 0
Query 47, 0, 0.0, 0
Query 48, 5, 50.0, -0.44999999999999996
Query 49, 0, 0.0, 0
Query 50, 0, 0.0, 0
Query 51, 1, 10.0, 0
Query 52, 3, 30.0, 0.75
Query 53, 0, 0.0, 0
Query 54, 2, 20.0, -16.0
Query 55, 2, 20.0, -7.0
Query 56, 5, 50.0, 0.8
Query 57, 3, 30.0, -19.5
Query 58, 3, 30.0, -1.0
Query 59, 4, 40.0, -2.6
Query 60, 1, 10.0, 0
Query 61, 0, 0.0, 0
Query 62, 2, 20.0, -84.0
Query 63, 0, 0.0, 0
Query 64, 0, 0.0, 0
Query 65, 2, 20.0, -49.0
Query 66, 1, 10.0, 0
Query 67, 1, 10.0, 0
Query 68, 4, 40.0, -2.5
Query 69, 2, 20.0, -35.0
Query 70, 0, 0.0, 0
Query 71, 0, 0.0, 0
Query 72, 0, 0.0, 0
Query 73, 0, 0.0, 0
Query 74, 3, 30.0, -4.25
Query 75, 5, 50.0, -2.95
Query 76, 6, 60.0, -0.4285714285714286
Query 77, 2, 20.0, -15.0
Query 78, 1, 10.0, 0
Query 79, 1, 10.0, 0
Query 80, 4, 40.0, -4.4
Query 81, 2, 20.0, -16.0
Query 82, 0, 0.0, 0
Query 83, 2, 20.0, -3.0
Query 84, 1, 10.0, 0
Query 85, 1, 10.0, 0
Query 86, 1, 10.0, 1
Query 87, 2, 20.0, -4.0
Query 88, 2, 20.0, -4.0
Query 89, 0, 0.0, 0
Query 90, 3, 30.0, -1.5
Query 91, 3, 30.0, -4.25
Query 92, 4, 40.0, -5.7
Query 93, 1, 10.0, 0
Query 94, 4, 40.0, -5.2
Query 95, 3, 30.0, -0.5
Query 96, 3, 30.0, -7.0
Query 97, 2, 20.0, -97.0
Query 98, 3, 30.0, -9.5
Query 99, 4, 40.0, -4.2
Query 100, 0, 0.0, 0
Averages, 1.86, 18.6, -6.836285714285715